1 5 0
1 8 0
1 13 0
1 25 0
1 27 0
1 39 0
1 43 0
1 48 0
1 52 0
1 59 0
1 68 0
1 72 0
1 78 0
1 83 0
1 95 0
1 99 0
1 102 0
1 103 0
1 111 0
1 112 0
1 25 0
1 28 0
1 113 0
1 125 0
1 127 0
1 139 0
1 143 0
1 148 0
1 152 0
1 159 0
1 168 0
1 172 0
1 178 0
1 183 0
1 195 0
1 199 0
1 102 0
1 103 0
1 111 0
1 112 0
1 62 0
1 194 0
1 32 0
1 129 0
1 31 0
1 189 0
1 98 0
1 25 0
1 183 0
1 77 0
1 164 0
1 48 0
1 98 0
1 48 0
1 177 0
1 183 0
1 39 0
1 182 0
1 124 0
1 44 0
1 118 0
1 196 0
1 154 0
1 159 0
1 105 0
1 122 0
1 162 0
1 115 0
1 189 0
1 29 0
1 152 0
1 145 0
1 105 0
1 161 0
1 145 0
1 14 0
1 169 0
1 99 0
1 79 0
1 144 0
1 105 0
1 24 0
1 74 0
1 96 0
1 47 0
1 132 0
1 186 0
1 14 0
1 74 0
1 11 0
1 110 0
1 56 0
1 98 0
1 184 0
1 141 0
1 38 0
1 83 0
1 44 0
1 160 0
1 131 0
1 137 0
1 145 0
1 25 0
1 185 0
1 76 0
1 131 0
1 107 0
1 112 0
1 10 0
1 65 0
1 132 0
1 28 0
1 195 0
1 53 0
1 98 0
1 49 0
1 193 0
1 15 0
1 79 0
1 80 0
1 130 0
1 181 0
1 127 0
1 29 0
1 32 0
1 130 0
1 182 0
1 39 0
1 67 0
1 136 0
1 186 0
1 88 0
1 55 0
1 48 0
1 105 0
1 47 0
1 86 0
1 160 0
1 133 0
1 106 0
1 128 0
1 166 0
1 39 0
1 186 0
1 100 0
1 94 0
1 59 0
1 192 0
1 114 0
1 66 0
